participant,event,vividness,confidence,age,detail_object,detail_person,detail_place,gist_object,gist_person,gist_place
113,23,3.050925926,2.305555556,1,1,1,0,1,1,0
116,11,1.3125,4.26171875,1,0,1,1,1,1,1
116,2,2.243489583,4.782552083,1,1,0,0,1,1,0
116,18,1.104166667,3.526041667,1,0,1,0,0,1,0
116,4,1.084635417,2.145833333,1,1,0,0,1,0,0
116,9,1.045572917,2.764322917,1,0,1,0,1,1,1
116,20,2.302083333,3.44140625,1,1,1,1,1,1,1
116,13,1.052083333,4.255208333,1,0,0,0,1,1,1
116,14,1.169270833,3.12890625,1,1,0,0,1,0,0
116,7,1.579427083,3.94921875,1,0,0,0,0,0,0
116,16,1.755208333,4.717447917,1,1,0,1,1,1,1
116,15,1.768229167,4.7109375,1,1,0,1,1,1,1
116,1,1.026041667,2.842447917,1,0,0,0,0,0,1
116,10,1.071614583,3.584635417,1,1,0,0,1,0,1
116,12,2.256510417,4.7890625,1,1,1,0,1,1,1
116,22,1.05859375,2.93359375,1,1,1,0,1,1,0
116,23,1.0390625,3.265625,1,1,1,1,1,1,1
116,8,1.071614583,1.5078125,1,0,0,1,0,0,1
116,21,1.032552083,2.8359375,1,0,0,1,1,1,1
116,24,1.091145833,3.356770833,1,1,0,0,1,0,0
116,19,1.032552083,3.513020833,1,1,1,0,1,1,1
116,5,1.05859375,2.959635417,1,0,0,0,0,0,0
116,17,1.065104167,2.803385417,1,0,0,0,0,0,0
116,3,1.078125,3.389322917,1,0,1,0,1,1,0
116,6,1.41015625,4.0859375,1,0,1,0,0,1,1
117,17,1.391145833,1.427235243,1,0,0,0,1,1,0
117,4,1.386892361,1.561935764,1,0,1,1,1,1,1
117,12,3.883528646,4.635503472,1,1,1,0,1,1,1
117,23,1.179882812,1.150455729,1,0,0,0,0,0,1
117,22,1.491536458,1.484874132,1,0,1,0,0,1,0
117,3,1.252235243,1.216514757,1,0,0,0,0,0,1
117,8,1.47358941,2.06187066,1,0,1,1,1,1,1
117,10,1.598871528,1.500477431,1,1,0,0,1,1,1
117,2,4.259027778,3.917795139,1,1,1,1,1,1,1
117,16,1.458810764,1.465516493,1,1,0,0,1,0,0
117,20,1.612000868,1.778342014,1,0,1,1,0,1,1
117,7,1.620746528,1.623263889,1,0,1,0,1,1,1
117,24,1.184505208,1.18218316,1,0,1,0,0,1,0
117,11,1.51937934,2.174153646,1,0,0,0,0,0,0
117,19,1.411935764,1.321375868,1,0,0,0,0,0,0
117,6,1.331315104,1.289626736,1,0,0,0,0,0,1
117,14,2.94453125,4.181532118,1,1,0,0,1,0,1
117,18,4.069835069,3.867947049,1,0,1,1,1,1,1
117,9,1.606358507,1.670073785,1,1,0,1,1,0,1
117,13,1.508702257,1.446202257,1,1,0,1,1,0,1
117,5,1.393229167,1.349457465,1,0,0,0,0,0,1
117,1,1.907638889,1.893055556,1,0,1,0,0,1,0
117,15,2.684309896,2.580295139,1,0,1,1,1,1,1
117,21,1.576866319,2.538216146,1,0,0,1,0,0,1
118,9,1.043402778,1.095486111,1,1,0,1,1,1,1
118,8,1.238715278,1.416666667,1,1,1,1,1,1,1
118,7,1.555555556,1.78125,1,0,1,0,1,1,1
118,15,1.381944444,1.642361111,1,1,1,1,1,1,1
118,13,1.043402778,1.108506944,1,1,1,1,1,1,1
118,12,1.099826389,1.143229167,1,1,1,1,1,1,1
118,20,1.065104167,1.160590278,1,1,0,1,1,1,1
118,22,1.0390625,1.069444444,1,0,0,0,1,1,1
118,21,2.831597222,3.916666667,1,1,1,1,1,1,1
118,1,1.295138889,1.481770833,1,1,1,0,1,1,1
118,14,1.030381944,1.147569444,1,1,0,1,1,1,1
118,5,1.026041667,1.069444444,1,0,0,0,1,1,1
