,participant,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,sem1,sem2,sem3,sem4,sem5,sem6,spa1,spa2,spa3,spa4,spa5,spa6,fut1,fut2,fut3,fut4,fut5,fut6,per_1,per_2,per_3,per_4,sun_1,sun_2,sun_3,sun_4,shop_1,shop_2,shop_3,shop_4,scene_1,scene_2,scene_3,scene_4,age
2784,24,2,1,4,1,2,4,1,4,4,3,2,4,3,5,5,5,3,1,5,5,2,4,4,2,4,3,3,4,4,5,3,2,3,3,4,5,4,4,3,2,4,2,1
2808,25,5,1,5,4,3,2,1,2,2,4,2,2,2,4,1,1,5,4,4,3,4,3,4,4,4,2,4,4,4,5,2,2,3,5,5,4,4,5,3,3,3,3,1
2832,26,4,4,3,2,2,4,1,4,1,4,1,2,2,1,2,2,5,3,2,3,3,3,3,4,3,4,4,4,5,4,3,4,2,4,5,5,2,5,2,2,3,1,1
2856,27,4,2,3,4,4,3,4,2,4,4,3,2,2,4,4,4,2,2,4,3,3,3,2,2,2,3,3,4,4,3,3,4,3,4,4,3,2,4,4,3,3,4,1
2880,28,2,2,4,4,4,4,4,3,4,2,3,4,2,2,3,4,2,1,4,4,4,4,4,4,4,2,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,1
2904,29,2,1,2,2,2,4,2,2,5,2,1,3,2,2,3,4,2,2,5,5,4,4,4,4,4,1,3,3,3,2,4,4,3,4,3,3,3,4,3,4,4,4,1
2928,2,4,5,2,4,2,3,2,2,3,5,1,2,5,1,4,4,2,2,4,4,1,2,2,3,4,4,3,3,4,3,4,1,4,4,4,4,4,4,4,4,2,2,1
2952,30,3,2,4,5,4,4,5,3,4,2,5,4,1,4,3,4,3,1,5,5,3,3,3,5,3,3,5,5,5,5,4,5,5,5,4,4,4,5,4,4,5,5,1
2976,31,2,4,3,2,4,2,2,4,5,4,2,2,1,4,4,3,4,2,4,4,3,2,3,2,3,4,5,4,3,4,4,3,3,4,4,3,4,4,4,4,3,3,1
3000,32,1,1,5,4,5,5,5,4,5,1,5,5,1,5,5,5,1,1,5,5,3,3,3,4,3,3,4,4,2,5,2,3,4,4,3,2,3,3,4,3,2,1,1
3024,33,2,3,4,2,3,4,2,4,3,2,3,4,4,4,3,4,2,1,4,4,5,5,5,4,5,1,3,4,4,3,5,4,5,4,5,5,2,5,5,5,5,4,1
3048,34,3,2,2,1,2,3,2,4,5,2,4,2,1,3,3,4,5,1,5,3,1,2,1,5,1,3,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1
3072,35,2,2,4,5,4,2,5,4,5,2,4,4,2,5,2,2,4,1,5,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,2,3,4,3,3,4,3,1
3096,36,4,4,4,2,2,3,1,1,3,4,1,2,3,2,2,2,2,2,3,4,1,1,2,3,2,4,4,3,3,2,2,2,2,2,3,2,3,3,3,2,1,2,1
3120,37,2,2,3,2,3,2,2,1,5,3,1,2,1,2,5,5,2,1,5,4,4,4,2,3,3,2,3,3,3,4,5,5,5,5,4,4,3,5,5,4,5,4,1
3144,38,4,4,2,2,2,2,4,2,4,2,1,4,4,2,4,4,3,2,5,4,2,2,3,4,4,4,4,2,3,2,2,3,3,4,4,2,4,3,2,3,2,2,1
3168,39,2,2,5,4,4,4,4,4,4,2,5,4,3,5,4,4,4,2,5,5,4,2,4,2,4,2,5,5,4,1,3,3,1,3,5,5,5,5,2,2,3,2,1
3192,3,4,2,5,2,4,3,3,4,5,2,1,4,3,3,4,4,2,1,4,5,4,4,3,3,4,2,5,4,5,5,3,3,2,4,5,2,4,5,4,3,4,3,1
3216,40,2,2,2,1,1,1,1,1,3,2,4,4,2,4,1,1,4,2,4,4,2,1,1,5,2,2,3,2,2,3,2,2,2,2,3,2,2,3,3,3,3,3,1
3240,41,2,2,4,3,3,3,3,4,3,2,2,2,2,2,3,2,2,2,2,4,3,2,2,2,3,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,3,3,1
3264,42,1,2,4,5,4,4,4,4,4,2,4,4,2,4,5,5,3,1,5,4,4,4,3,5,4,2,5,4,3,5,5,5,3,5,4,4,5,5,4,4,4,2,1
3288,43,4,4,3,3,4,4,3,3,4,3,3,4,2,2,3,2,2,2,3,4,2,2,2,2,2,4,5,5,3,4,3,4,3,4,3,1,1,2,2,3,3,2,1
3312,44,2,2,4,3,4,4,3,2,3,3,1,3,2,4,5,5,1,1,5,4,5,5,5,4,4,1,2,4,4,2,3,2,3,4,4,4,2,4,3,4,4,4,1
3336,45,2,2,4,5,4,4,2,4,3,2,2,5,3,3,4,4,3,1,4,5,4,4,4,5,4,1,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4,4,1
3360,46,2,2,4,1,4,2,1,4,4,5,1,1,4,3,2,4,2,2,3,4,3,2,1,2,1,4,5,5,4,5,5,5,5,5,3,3,3,5,4,3,4,4,1
